date,store_id,staff_on_shift,labour_hours
2026-06-01,S01,3,24
2026-06-02,S01,3,24
2026-06-03,S01,3,24
2026-06-04,S01,3,24
2026-06-05,S01,4,32
2026-06-06,S01,4,32
2026-06-07,S01,4,32
2026-06-08,S01,3,24
2026-06-09,S01,3,24
2026-06-10,S01,3,24
2026-06-11,S01,3,24
2026-06-12,S01,4,32
2026-06-13,S01,4,32
2026-06-14,S01,4,32
2026-06-15,S01,3,24
2026-06-16,S01,3,24
2026-06-17,S01,3,24
2026-06-18,S01,3,24
2026-06-19,S01,4,32
2026-06-20,S01,4,32
2026-06-21,S01,4,32
2026-06-22,S01,3,24
2026-06-23,S01,3,24
2026-06-24,S01,3,24
2026-06-25,S01,3,24
2026-06-26,S01,4,32
2026-06-27,S01,4,32
2026-06-28,S01,4,32
2026-06-29,S01,3,24
2026-06-30,S01,3,24
2026-07-01,S01,3,24
2026-07-02,S01,3,24
2026-07-03,S01,4,32
2026-07-04,S01,4,32
2026-07-05,S01,4,32
2026-07-06,S01,3,24
2026-07-07,S01,3,24
2026-07-08,S01,3,24
2026-07-09,S01,3,24
2026-07-10,S01,4,32
2026-07-11,S01,4,32
2026-07-12,S01,4,32
2026-07-13,S01,3,24
2026-07-14,S01,3,24
2026-07-15,S01,3,24
2026-07-16,S01,3,24
2026-07-17,S01,4,32
2026-07-18,S01,4,32
2026-07-19,S01,4,32
2026-07-20,S01,3,24
2026-07-21,S01,3,24
2026-07-22,S01,3,24
2026-07-23,S01,3,24
2026-07-24,S01,4,32
2026-07-25,S01,4,32
2026-07-26,S01,4,32
2026-07-27,S01,3,24
2026-07-28,S01,3,24
2026-07-29,S01,3,24
2026-07-30,S01,3,24
2026-07-31,S01,4,32
2026-08-01,S01,4,32
2026-08-02,S01,4,32
2026-08-03,S01,3,24
2026-08-04,S01,3,24
2026-08-05,S01,3,24
2026-08-06,S01,3,24
2026-08-07,S01,4,32
2026-08-08,S01,4,32
2026-08-09,S01,4,32
2026-08-10,S01,3,24
2026-08-11,S01,3,24
2026-08-12,S01,3,24
2026-08-13,S01,3,24
2026-08-14,S01,4,32
2026-08-15,S01,4,32
2026-08-16,S01,4,32
2026-08-17,S01,3,24
2026-08-18,S01,3,24
2026-08-19,S01,3,24
2026-08-20,S01,3,24
2026-08-21,S01,4,32
2026-08-22,S01,4,32
2026-08-23,S01,4,32
2026-08-24,S01,3,24
2026-08-25,S01,3,24
2026-08-26,S01,3,24
2026-08-27,S01,3,24
2026-08-28,S01,4,32
2026-08-29,S01,4,32
2026-08-30,S01,4,32
2026-08-31,S01,3,24
2026-06-01,S02,2,16
2026-06-02,S02,2,16
2026-06-03,S02,3,24
2026-06-04,S02,3,24
2026-06-05,S02,3,24
2026-06-06,S02,3,24
2026-06-07,S02,3,24
2026-06-08,S02,2,16
2026-06-09,S02,2,16
2026-06-10,S02,3,24
2026-06-11,S02,3,24
2026-06-12,S02,3,24
2026-06-13,S02,3,24
2026-06-14,S02,3,24
2026-06-15,S02,2,16
2026-06-16,S02,2,16
2026-06-17,S02,3,24
2026-06-18,S02,3,24
2026-06-19,S02,3,24
2026-06-20,S02,3,24
2026-06-21,S02,3,24
2026-06-22,S02,2,16
2026-06-23,S02,2,16
2026-06-24,S02,3,24
2026-06-25,S02,3,24
2026-06-26,S02,3,24
2026-06-27,S02,3,24
2026-06-28,S02,3,24
2026-06-29,S02,2,16
2026-06-30,S02,2,16
2026-07-01,S02,3,24
2026-07-02,S02,3,24
2026-07-03,S02,3,24
2026-07-04,S02,3,24
2026-07-05,S02,3,24
2026-07-06,S02,2,16
2026-07-07,S02,2,16
2026-07-08,S02,3,24
2026-07-09,S02,3,24
2026-07-10,S02,3,24
2026-07-11,S02,3,24
2026-07-12,S02,3,24
2026-07-13,S02,2,16
2026-07-14,S02,2,16
2026-07-15,S02,3,24
2026-07-16,S02,3,24
2026-07-17,S02,3,24
2026-07-18,S02,3,24
2026-07-19,S02,3,24
2026-07-20,S02,2,16
2026-07-21,S02,2,16
2026-07-22,S02,3,24
2026-07-23,S02,3,24
2026-07-24,S02,3,24
2026-07-25,S02,3,24
2026-07-26,S02,3,24
2026-07-27,S02,2,16
2026-07-28,S02,2,16
2026-07-29,S02,3,24
2026-07-30,S02,3,24
2026-07-31,S02,3,24
2026-08-01,S02,3,24
2026-08-02,S02,3,24
2026-08-03,S02,2,16
2026-08-04,S02,2,16
2026-08-05,S02,3,24
2026-08-06,S02,3,24
2026-08-07,S02,3,24
2026-08-08,S02,3,24
2026-08-09,S02,3,24
2026-08-10,S02,2,16
2026-08-11,S02,2,16
2026-08-12,S02,3,24
2026-08-13,S02,3,24
2026-08-14,S02,3,24
2026-08-15,S02,3,24
2026-08-16,S02,3,24
2026-08-17,S02,2,16
2026-08-18,S02,2,16
2026-08-19,S02,3,24
2026-08-20,S02,3,24
2026-08-21,S02,3,24
2026-08-22,S02,3,24
2026-08-23,S02,3,24
2026-08-24,S02,2,16
2026-08-25,S02,2,16
2026-08-26,S02,3,24
2026-08-27,S02,3,24
2026-08-28,S02,3,24
2026-08-29,S02,3,24
2026-08-30,S02,3,24
2026-08-31,S02,2,16
2026-06-01,S03,2,16
2026-06-02,S03,2,16
2026-06-03,S03,2,16
2026-06-04,S03,2,16
2026-06-05,S03,2,16
2026-06-06,S03,2,16
2026-06-07,S03,2,16
2026-06-08,S03,2,16
2026-06-09,S03,2,16
2026-06-10,S03,2,16
2026-06-11,S03,2,16
2026-06-12,S03,2,16
