date,store_id,temp_max_c,rain_mm
2026-06-01,S01,20.8,13.2
2026-06-02,S01,24.6,0.1
2026-06-03,S01,19.7,5.5
2026-06-04,S01,25.0,0.9
2026-06-05,S01,18.9,16.7
2026-06-06,S01,22.4,0.1
2026-06-07,S01,22.8,2.9
2026-06-08,S01,26.7,0.0
2026-06-09,S01,22.5,2.4
2026-06-10,S01,15.7,7.2
2026-06-11,S01,15.7,12.5
2026-06-12,S01,16.1,5.6
2026-06-13,S01,22.6,3.9
2026-06-14,S01,17.2,1.0
2026-06-15,S01,18.4,0.1
2026-06-16,S01,23.3,0.0
2026-06-17,S01,25.3,1.5
2026-06-18,S01,27.6,0.5
2026-06-19,S01,31.9,0.0
2026-06-20,S01,31.1,4.5
2026-06-21,S01,31.4,2.1
2026-06-22,S01,28.1,1.7
2026-06-23,S01,29.0,0.0
2026-06-24,S01,31.0,0.0
2026-06-25,S01,33.5,0.0
2026-06-26,S01,34.8,0.0
2026-06-27,S01,37.7,0.0
2026-06-28,S01,39.3,0.0
2026-06-29,S01,32.8,7.6
2026-06-30,S01,28.4,10.8
2026-07-01,S01,21.1,18.2
2026-07-02,S01,25.3,0.0
2026-07-03,S01,22.2,0.5
2026-07-04,S01,23.1,0.0
2026-07-05,S01,23.8,1.7
2026-07-06,S01,23.4,4.3
2026-07-07,S01,29.0,0.2
2026-07-08,S01,23.7,1.5
2026-07-09,S01,25.7,0.0
2026-07-10,S01,27.6,0.0
2026-07-11,S01,26.9,0.0
2026-07-12,S01,28.2,0.0
2026-07-13,S01,30.5,0.0
2026-07-14,S01,27.7,7.6
2026-07-15,S01,25.4,5.5
2026-07-16,S01,27.5,4.4
2026-07-17,S01,29.6,3.3
2026-07-18,S01,26.4,4.2
2026-07-19,S01,21.4,8.8
2026-07-20,S01,21.1,0.1
2026-07-21,S01,21.6,0.2
2026-07-22,S01,23.0,0.4
2026-07-23,S01,19.3,2.8
2026-07-24,S01,23.5,0.0
2026-07-25,S01,29.3,0.0
2026-07-26,S01,31.1,0.0
2026-07-27,S01,23.7,0.5
2026-07-28,S01,27.8,0.0
2026-07-29,S01,32.5,0.0
2026-07-30,S01,37.5,0.0
2026-07-31,S01,36.7,2.2
2026-08-01,S01,28.9,2.1
2026-08-02,S01,26.7,0.0
2026-08-03,S01,34.0,0.1
2026-08-04,S01,38.1,0.1
2026-08-05,S01,35.9,0.6
2026-08-06,S01,31.6,2.5
2026-08-07,S01,25.7,0.0
2026-08-08,S01,25.8,0.0
2026-08-09,S01,31.9,0.0
2026-08-10,S01,34.8,0.0
2026-08-11,S01,25.9,0.0
2026-08-12,S01,25.8,0.0
2026-08-13,S01,28.3,0.0
2026-08-14,S01,31.2,0.0
2026-08-15,S01,34.4,0.0
2026-08-16,S01,28.5,1.0
2026-08-17,S01,25.7,8.9
2026-08-18,S01,20.1,5.0
2026-08-19,S01,27.0,1.0
2026-08-20,S01,28.0,1.3
2026-08-21,S01,25.7,39.0
2026-08-22,S01,19.6,6.1
2026-08-23,S01,20.7,0.2
2026-08-24,S01,20.2,0.0
2026-08-25,S01,22.0,0.3
2026-08-26,S01,21.9,2.1
2026-08-27,S01,27.5,0.0
2026-08-28,S01,29.8,7.0
2026-08-29,S01,24.2,5.2
2026-08-30,S01,27.4,0.0
2026-08-31,S01,24.1,7.2
2026-06-01,S02,19.7,5.2
2026-06-02,S02,24.8,0.0
2026-06-03,S02,19.5,5.6
2026-06-04,S02,24.3,0.1
2026-06-05,S02,17.9,5.2
2026-06-06,S02,22.9,0.1
2026-06-07,S02,24.6,3.3
2026-06-08,S02,26.9,0.0
2026-06-09,S02,26.6,3.4
2026-06-10,S02,16.6,9.2
2026-06-11,S02,18.3,7.7
2026-06-12,S02,19.2,1.0
2026-06-13,S02,23.2,1.8
2026-06-14,S02,19.0,0.4
2026-06-15,S02,19.9,0.7
2026-06-16,S02,24.5,0.3
2026-06-17,S02,26.3,0.6
2026-06-18,S02,29.0,0.0
2026-06-19,S02,31.9,0.0
2026-06-20,S02,34.4,0.0
2026-06-21,S02,33.4,0.3
2026-06-22,S02,30.1,0.8
2026-06-23,S02,29.5,0.0
2026-06-24,S02,30.8,0.0
2026-06-25,S02,33.9,0.0
2026-06-26,S02,34.5,0.0
2026-06-27,S02,36.1,0.0
2026-06-28,S02,38.1,0.0
2026-06-29,S02,38.1,0.3
2026-06-30,S02,35.2,0.7
2026-07-01,S02,30.6,2.3
2026-07-02,S02,26.8,0.0
2026-07-03,S02,24.2,0.9
2026-07-04,S02,24.8,0.0
2026-07-05,S02,25.4,0.6
2026-07-06,S02,24.5,1.1
2026-07-07,S02,29.4,0.4
2026-07-08,S02,25.0,0.7
2026-07-09,S02,25.2,0.0
2026-07-10,S02,27.4,0.0
2026-07-11,S02,26.9,0.0
2026-07-12,S02,26.2,2.8
2026-07-13,S02,29.4,0.0
2026-07-14,S02,31.9,0.8
2026-07-15,S02,29.3,2.8
2026-07-16,S02,28.5,7.2
2026-07-17,S02,32.5,5.6
2026-07-18,S02,27.8,2.1
2026-07-19,S02,25.8,9.2
2026-07-20,S02,23.6,0.5
2026-07-21,S02,22.4,0.0
2026-07-22,S02,23.7,0.0
2026-07-23,S02,21.7,3.2
2026-07-24,S02,22.7,0.0
2026-07-25,S02,27.9,0.0
2026-07-26,S02,31.3,0.2
2026-07-27,S02,25.8,0.4
