DATE,PRICE
2016-01-13,432
2017-12-11,16732
2018-11-14,5741
2019-01-01,3880
2019-02-01,3462
2019-03-01,3831
2019-04-01,4151
2019-05-01,5390
2019-06-01,8556
2019-07-01,10592
2019-08-01,10410
2019-09-01,9768
2019-10-01,8327
2019-11-01,9261
2019-12-01,7421
2019-10-27,9551
2020-02-07,9808
2020-03-19,6185
2020-05-03,8907
2020-08-01,11812
2020-09-01,11927
2020-10-01,10623
2020-11-01,13762
2020-11-25,18726
2020-11-26,17176
2020-11-27,17155
2020-12-05,19157
2020-12-17,22822
2020-12-19,23845
2020-12-25,24708
2020-12-26,26446
2021-01-03,33063
2021-01-07,39479
2021-01-11,35496
2021-02-16,49185
2021-02-17,52155
2021-02-20,55901
2021-02-23,48899
2021-02-24,49738
2021-02-26,47613
