occurrence_id,aphia_id,latitude,longitude,depth_m,year,event_date
000061ef-5c1f-4e92-8f11-e62ee5d7225e,140605,26.7415,-82.789333,25.6,2011,2011-06-17
0008a3d3-9137-4028-b42f-abaebefd4b14,527142,-48.3209166666667,-60.6091666666667,335,2010,2010-10-27
000f04a5-2859-4a5a-a9b5-61bd51cf7710,342334,-35.0848,137.749,3.6,2015,2015-01-20
0012c5a7-cca8-46e7-84b1-9b1f0edbd7a5,140605,32.6410733333,-16.833245,,2025,2025-06-13
00160ae8-5f96-4d90-b53e-d8746878d6b7,140600,56.2107,0.5202,82,2006,2006-02-05
0019bbcb-0984-432d-ae29-5634fb8480ab,140600,50.352,-2.4599,27.5,2014,2014-02-16
001df726-d5d9-4c0d-8b08-88c0edc57f08,157019,43.5000987013,-50.2960446835,,2005,2005-06-25
00234e16-9989-4ee9-9542-b98e9e141a85,342381,-42.4667,170.2667,696,1979,1979-08-11
00338b8f-d0e1-4e9d-bb38-f929f447ec92,140605,-8.142703627,13.22880987,19.5,1991,1991-08-17
00375b6f-9748-44ba-ae16-cf9039221db4,342305,54.060102,-166.231837,102,2010,2010-03-16
003c0e22-9aa4-41ab-9f54-ffb90efec56f,325319,-54.19,-35.39,319.5,2006,2006-1-20
0041b752-5579-432a-90b6-671ecf12c4d1,535841,13.7280049024,120.8839216199,,2019,2019-05-06
0046e782-552a-44d3-b2d1-d0a665516774,140605,27.6718997955,-83.8906021118,,1977,1977-08-23
004a42ad-3e64-4d3d-a1f3-ff5f6ee24554,341985,27.3805,-83.59216667,45.9,2020,2020-10-15
004f9cbb-28eb-42e3-8322-626e9906367c,140605,31,-81,,1950,1950-07-02
0056519d-54e2-44c9-bc3a-bdd13143265e,342000,34.393367456,-119.7136718126,,2025,2025-09-23
00634011-0f27-441d-833a-be1ff02b0176,140600,41.21,2.33,410.8,2009,2009-05-04
0067f36a-14f2-494b-86b3-7b51d69839ac,342036,-34.3386485997,150.9266775,,2022,2022-01-02
006bfe77-f51a-4b34-aacf-aa958ae42fe1,157011,48.68083333,-62.92066667,398,2005,2005-08-28
00723aca-f8d9-458e-b5e2-33e9f1359f1b,325329,-60.98,-55.83,202.8,2006,2006-12-24
00778ada-df17-492a-9934-1aea2939d482,342036,-32.7136933745,152.1498970448,,2019,2019-10-15
007bcc07-1abb-4a7d-91a2-738ef5505973,1805274,12.0234888333,93.0064916667,,2026,2026-03-23
0081143e-1857-4680-8874-96497fc86800,140600,53.123,-12.67,187,2015,2015-09-21
00860c34-c0eb-43fc-8f5c-1eabf95d426e,210788,-7.9489203719,39.7907960817,,2020,2020-09-04
008e9715-5595-4818-b838-bfc176e0bd39,341781,38.69467,-28.68527,0,2023,2023-07-14
0098e5b4-705d-4095-afb4-91ed4886987a,140600,36.2249984741,11.9919996262,,2003,2003-06-04
009d4443-883d-44bf-b26b-7b2a8c0169e2,342036,-33.0474149594,151.612222018,,2023,2023-03-10
00a939fb-ec6b-49dd-b682-aca306143182,140600,58.41077,-5.111122,15.5,1991,1991-05-16
00b06614-6c91-48c9-8942-65e383be5041,342036,-33.9256859,151.2593896,,2025,2025-09-01
00b715ec-1175-48dc-b0c7-a4016c91d1fc,341952,32.7667066313,-117.2447976206,,2023,2023-09-19
00bd5aa5-0960-405f-af5f-99d20790de52,342305,54.074589,-166.20816,102,2010,2010-07-09
00c24225-9a3c-4f3a-a3a4-10bdf1294b61,210788,27.2843999759,33.83100003,,2024,2024-10-11
00c8b61f-b14a-4f97-b134-61dba4bd4af3,157011,49.31133333,-66.38233333,298,2022,2022-08-27
00cd61fe-548a-4482-95da-bda1fd2984c0,342305,54.154233,-132.85695,34.5,2019,2019-05-27
00d22b42-4e66-4085-ba50-94f0da2d46c6,341963,39.44546,142.24334,388.9,2013,2013-10-07
