aphia_id,scientific_name,family,common_name
140605,Octopus vulgaris,Octopodidae,common Atlantic octopus
140600,Eledone cirrhosa,Eledonidae,curled octopus
342036,Octopus tetricus,Octopodidae,gloomy octopus
342305,Enteroctopus dofleini,Enteroctopodidae,Giant North Pacific octopus
210788,Octopus cyanea,Octopodidae,big blue octopus
342023,Octopus rubescens,Octopodidae,East Pacific red octopus
341952,Octopus bimaculoides,Octopodidae,California two-spot octopus
342381,Pinnoctopus cordiformis,Octopodidae,
457762,Octopus insularis,Octopodidae,Brazil reef octopus
157011,Bathypolypus bairdii,Bathypolypodidae,spoonarm octopus
140596,Bathypolypus arcticus,Bathypolypodidae,Arctic deepsea octopus
140601,Eledone moschata,Eledonidae,musky octopus
239392,Pareledone charcoti,Megaleledonidae,
535784,Enteroctopus magnificus,Enteroctopodidae,
535605,Macroctopus maorum,Octopodidae,Maori octopus
341954,Octopus briareus,Octopodidae,Caribbean reef octopus
342334,Hapalochlaena maculosa,Octopodidae,blue-ringed octopus
325319,Adelieledone polymorpha,Megaleledonidae,
1043781,Muusoctopus leioderma,Enteroctopodidae,
1805270,Pinnoctopus macropus,Octopodidae,
140598,Bathypolypus sponsalis,Bathypolypodidae,globose octopus
534099,Amphioctopus marginatus,Octopodidae,
527142,Muusoctopus longibrachus akambei,Enteroctopodidae,
138849,Japetella diaphana,Amphitretidae,Diaphanous pelagic octopod
535623,Amphioctopus exannulatus,Octopodidae,
342015,Octopus pallidus,Octopodidae,pale octopus
341985,Octopus joubini,Octopodidae,dwarf octopus
342010,Octopus oculifer,Octopodidae,reef octopus
138803,Argonauta argo,Argonautidae,common paper nautilus
140607,Scaeurgus unicirrhus,Octopodidae,Atlantic warty octopus
1530663,Argonauta nodosus,Argonautidae,
1561957,Octopus djinda,Octopodidae,
342332,Hapalochlaena fasciata,Octopodidae,blue-lined octopus
341950,Octopus berrima,Octopodidae,
341781,Haliphron atlanticus,Alloposidae,Seven-arm octopus
140606,Pteroctopus tetracirrhus,Octopodidae,Atlantic fourhorn octopus
342212,Cirroteuthis muelleri,Cirroteuthidae,cirrate octopus
325325,Pareledone aequipapillae,Megaleledonidae,
140604,Octopus salutii,Octopodidae,spider octopus
534733,Amphioctopus fangsiao,Octopodidae,gold-spot octopus
325336,Pareledone felix,Megaleledonidae,
457573,Wunderpus photogenicus,Octopodidae,
342307,Enteroctopus megalocyathus,Enteroctopodidae,
325329,Pareledone cornuta,Megaleledonidae,
325324,Megaleledone setebos,Megaleledonidae,
342333,Hapalochlaena lunulata,Octopodidae,
534443,Octopus sinensis,Octopodidae,
749548,Octopus americanus,Octopodidae,
342403,Thaumoctopus mimicus,Octopodidae,
410340,Bolitaena pygmaea,Amphitretidae,
341948,Octopus australis,Octopodidae,
534126,Macrotritopus defilippi,Octopodidae,
1805272,Pinnoctopus ornatus,Octopodidae,
140610,Ocythoe tuberculata,Ocythoidae,
215276,Argonauta hians,Argonautidae,
342002,Octopus minor,Octopodidae,
325327,Pareledone aurata,Megaleledonidae,
141694,Tremoctopus violaceus,Tremoctopodidae,
342222,Graneledone boreopacifica,Megaleledonidae,
341983,Octopus hubbsorum,Octopodidae,
341951,Octopus bimaculatus,Octopodidae,
342227,Graneledone yamana,Megaleledonidae,
527127,Muusoctopus eureka,Enteroctopodidae,
342385,Robsonella huttoni,Octopodidae,
341988,Octopus kaurna,Octopodidae,
420653,Amphioctopus burryi,Octopodidae,
239393,Pareledone turqueti,Megaleledonidae,
1805275,Pinnoctopus dierythraeus,Octopodidae,
1805274,Pinnoctopus aspilosomatis,Octopodidae,
1765489,Exsuperoteuthis persephone,Opisthoteuthidae,
342226,Graneledone taniwha,Megaleledonidae,
157019,Graneledone verrucosa,Megaleledonidae,
342000,Octopus micropyrsus,Octopodidae,
1813559,Insigniteuthis albatrossi,Opisthoteuthidae,
342270,Ameloctopus litoralis,Octopodidae,
342384,Robsonella fontaniana,Octopodidae,
325326,Pareledone albimaculata,Megaleledonidae,
534097,Amphioctopus aegina,Octopodidae,
534130,Paroctopus digueti,Octopodidae,
341984,Octopus hummelincki,Octopodidae,
341987,Octopus kaharoa,Octopodidae,
325315,Cirroctopus glacialis,Cirroctopodidae,
341786,Argonauta nouryi,Argonautidae,
141962,Vitreledonella richardi,Amphitretidae,
341937,Eledone palari,Eledonidae,
153122,Stauroteuthis syrtensis,Stauroteuthidae,
341953,Octopus bocki,Octopodidae,
342098,Opisthoteuthis mero,Opisthoteuthidae,
341910,Bathypolypus valdiviae,Bathypolypodidae,
140652,Opisthoteuthis agassizii,Opisthoteuthidae,
342032,Octopus tehuelchus,Octopodidae,
534424,Enteroctopus zealandicus,Enteroctopodidae,
342045,Octopus warringa,Octopodidae,
409949,Abdopus aculeatus,Octopodidae,
342011,Octopus oliveri,Octopodidae,
325335,Pareledone subtilis,Megaleledonidae,
341973,Octopus fitchi,Octopodidae,
325331,Pareledone harrissoni,Megaleledonidae,
527162,Muusoctopus rigbyae,Enteroctopodidae,
535841,Amphioctopus mototi,Octopodidae,
